UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ali || jodiebot,@docwhovians,2022-02-03T23:59:59.000Z,"ali || jodiebot
@docwhovians
·
Feb 4, 2022",It was the safe and sound one  it’s my first strike so I’ll probs be ok but I’m mildly terrified ,🐸 😭 😭 😭 😬,,1,,[],https://twitter.com/docwhovians/status/1489388228855869443
Cryptoferrogirl,@Cryptoferrogir1,2022-02-03T23:59:59.000Z,"Cryptoferrogirl
@Cryptoferrogir1
·
Feb 4, 2022","Check out my new NFT on OpenSea! https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/20229220992295179361462369298261059575401179070700996138829329073817197215745/… via 
@opensea",,,,,[],https://twitter.com/Cryptoferrogir1/status/1489388228830498817
Nick,@Shxdowz,2022-02-03T23:59:59.000Z,"Nick
@Shxdowz
·
Feb 4, 2022","Replying to 
@daddyjwill",🐢,1,,1,[],https://twitter.com/Shxdowz/status/1489388228683644928
MoAtlas,@ColquhounMoira,2022-02-03T23:59:59.000Z,"MoAtlas
@ColquhounMoira
·
Feb 4, 2022","Replying to 
@Conflcts
 and 
@AntonymNFT",,,,3,[],https://twitter.com/ColquhounMoira/status/1489388228620677121
Toyota of Portland,@ToyotaPortland,2022-02-03T23:59:59.000Z,"Toyota of Portland
@ToyotaPortland
·
Feb 4, 2022","""Ara is the man ! I will be buying all my cars from him from now on. Just walk in and ask for him . He was honest and bent over backwards to get me the car I wanted ."" says Rob on Google, via 
@Birdeye_",,1,,1,[],https://twitter.com/ToyotaPortland/status/1489388228557688832
Aiden Huefner,@KittyLover50026,2022-02-03T23:59:59.000Z,"Aiden Huefner
@KittyLover50026
·
Feb 4, 2022",Hopping on a trend: The neurodivergent and empathetic urge to contemplate and tackle basically every problem in the world.... except for my own.,,,,,[],https://twitter.com/KittyLover50026/status/1489388228528513029
❀ shiho,@xX_L0NEW0LF_Xx,2022-02-03T23:59:59.000Z,"❀ shiho
@xX_L0NEW0LF_Xx
·
Feb 4, 2022","Replying to 
@starxbrights",,1,,,[],https://twitter.com/xX_L0NEW0LF_Xx/status/1489388228503298055
Alex Moreno,@Alexmoreno_2011,2022-02-03T23:59:59.000Z,"Alex Moreno
@Alexmoreno_2011
·
Feb 4, 2022","Replying to 
@my_hero204",🐜,1,,2,[],https://twitter.com/Alexmoreno_2011/status/1489388228310274048
Kaminofen-Rauchvergiftung de,@KoRv_de,2022-02-03T23:59:59.000Z,"Kaminofen-Rauchvergiftung de
@KoRv_de
·
Feb 4, 2022","Replying to 
@cleanairgermany",,,,,[],https://twitter.com/KoRv_de/status/1489388228302053377
EKLA,@kolbeng,2022-02-03T23:59:59.000Z,"EKLA
@kolbeng
·
Feb 4, 2022","Replying to 
@LibertyLynx",😻,,,,[],https://twitter.com/kolbeng/status/1489388228129869824
썬샤인방탄(Slow),@Bangtan_healing,2022-02-03T23:59:59.000Z,"썬샤인방탄(Slow)
@Bangtan_healing
·
Feb 4, 2022","Listen to #V_ChristmasTree by #BTSV my favorite song for my day and night from #V 
@BTS_twt",,,3,2,['https://pbs.twimg.com/media/FKtescPUcAMHtK6?format=jpg&name=small'],https://twitter.com/Bangtan_healing/status/1489388228062838784
Peter Baroš,@PeterBaro,2022-02-03T23:59:59.000Z,"Peter Baroš
@PeterBaro
·
Feb 4, 2022","Replying to 
@HipyoTech
 and 
@elgato",,,1,9,['https://pbs.twimg.com/media/FKtenqvX0AUwU03?format=jpg&name=small'],https://twitter.com/PeterBaro/status/1489388227953938433
ØPTIMUS  GALACTUS,@KiDxTWEETx,2022-02-03T23:59:59.000Z,"ØPTIMUS  GALACTUS
@KiDxTWEETx
·
Feb 4, 2022","Welp, my time to shine ",⚜ 💫 😇 🙄 🙄 🙄,,,,"['https://pbs.twimg.com/tweet_video_thumb/FKtesffXIAMVzWL.jpg', 'https://pbs.twimg.com/profile_images/1565770616392896513/L9kXSCLF_mini.jpg']",https://twitter.com/KiDxTWEETx/status/1489388227165360130
Sowa / Anz brainrot era,@sowhat567,2022-02-03T23:59:59.000Z,"Sowa / Anz brainrot era
@sowhat567
·
Feb 4, 2022","Replying to 
@jouzudes",🥺 🥴,,,1,[],https://twitter.com/sowhat567/status/1489388227127615492
Gaster,@gasterkei,2022-02-03T23:59:59.000Z,"Gaster
@gasterkei
·
Feb 4, 2022","I promised someone I would draw my current Sonic OC, Pastella, with my childhood Sonic OC, Pammy. I never posted it here, so here it is. 

#SonicTheHedgehog #sonicoc #sth #SONIC  #sonicartist #CLIPSTUDIOPAINT",🎀,3,5,19,['https://pbs.twimg.com/media/FKtc6ieXsAUzcah?format=jpg&name=small'],https://twitter.com/gasterkei/status/1489388226947264516
jacobsteves.4.3,@jacobsteves43,2022-02-03T23:59:59.000Z,"jacobsteves.4.3
@jacobsteves43
·
Feb 4, 2022",I started rolling around bc I couldn’t Reach the scratch on my back,,,,,[],https://twitter.com/jacobsteves43/status/1489388226942930946
,@momotaism,2022-02-03T23:59:59.000Z,"@momotaism
·
Feb 4, 2022
Automated",Just upset my fp time to waterboard myself in the shower,🐈,,,,[],https://twitter.com/momotaism/status/1489388226934566915
pupae (not french),@Soviet_Tw1nk,2022-02-03T23:59:59.000Z,"pupae (not french)
@Soviet_Tw1nk
·
Feb 4, 2022","i like my games with no one talking to me on my headphones, puzzles and the occasional big boobies and men in undies",,1,,3,[],https://twitter.com/Soviet_Tw1nk/status/1489388226926292995
Coffey Caesar,@coffeycaesar,2022-02-03T23:59:59.000Z,"Coffey Caesar
@coffeycaesar
·
Feb 4, 2022","Replying to 
@plant_babes",,,,1,[],https://twitter.com/coffeycaesar/status/1489388226360000514
mcquack306,@mcquack306,2022-02-03T23:59:59.000Z,"mcquack306
@mcquack306
·
Feb 4, 2022","Replying to 
@TheReturnOfZ
 and 
@Wario64",,3,,12,[],https://twitter.com/mcquack306/status/1489388226343149572
Malinda Zaragoza,@malindazaragoza,2022-02-03T23:59:59.000Z,"Malinda Zaragoza
@malindazaragoza
·
Feb 4, 2022","Hi my mom called me stupid, she hates me, idk what to do.",,,,,[],https://twitter.com/malindazaragoza/status/1489388226196426756
blackforces.eth,@SlippySlapperz,2022-02-03T23:59:59.000Z,"blackforces.eth
@SlippySlapperz
·
Feb 4, 2022","Replying to 
@yddubla",,1,,2,[],https://twitter.com/SlippySlapperz/status/1489388226179706881
Kyra,@Reinnaee,2022-02-03T23:59:59.000Z,"Kyra
@Reinnaee
·
Feb 4, 2022",Can my dad live closer so I can move in with him he doesn’t give a shit about me and honestly I think I’d prefer that ,😭 🙏,,,,[],https://twitter.com/Reinnaee/status/1489388225969885185
Andy McFly,@AndyMackk,2022-02-03T23:59:59.000Z,"Andy McFly
@AndyMackk
·
Feb 4, 2022","Replying to 
@andrewjbeaton",,,,3,[],https://twitter.com/AndyMackk/status/1489388225864945664
Ana,@Ana00490,2022-02-03T23:59:59.000Z,"Ana
@Ana00490
·
Feb 4, 2022","Replying to 
@kamisbsf",,1,,,[],https://twitter.com/Ana00490/status/1489388225785380867
b :),@KrolsCircus,2022-02-03T23:59:58.000Z,"b :)
@KrolsCircus
·
Feb 4, 2022","Replying to 
@gotcIouds",,1,,,['https://pbs.twimg.com/media/FKtesjqVUAEjZo0?format=jpg&name=small'],https://twitter.com/KrolsCircus/status/1489388225005117440
Gabe King,@gabe_king,2022-02-03T23:59:58.000Z,"Gabe King
@gabe_king
·
Feb 4, 2022","Proud of my boy, G! Dude’s been busting his hump for years and he’s reaping the benefits. Keep going ",‼ 📣 🏀 💪,,2,18,"['https://pbs.twimg.com/profile_images/1489289750695583749/Rg0EzSrM_mini.png', 'https://pbs.twimg.com/amplify_video_thumb/1489297688730517512/img/vAmyZ-zmRlqnyyOf.jpg']",https://twitter.com/gabe_king/status/1489388224829026306
Charisse Andoy,@charisseandoy,2022-02-03T23:59:58.000Z,"Charisse Andoy
@charisseandoy
·
Feb 4, 2022","""Teach me to live according to your truth, for you are my God, who saves me. I always trust in you."" - Psalm 25:5

#AlertLevel3",,,,1,[],https://twitter.com/charisseandoy/status/1489388224426381312
jiminy,@rosastoken,2022-02-03T23:59:58.000Z,"jiminy
@rosastoken
·
Feb 4, 2022","i made it occasionally for the next few days till my mom told me to stop

i was such a dumb fucking kid btw",🧸,,,2,[],https://twitter.com/rosastoken/status/1489388224162279425
Di,@D6i9a,2022-02-03T23:59:58.000Z,"Di
@D6i9a
·
Feb 4, 2022","Replying to 
@RookSacrifice
 and 
@oldmenshoujo",,1,,,[],https://twitter.com/D6i9a/status/1489388224132829184
dave,@KICKINTRASH,2022-02-03T23:59:58.000Z,"dave
@KICKINTRASH
·
Feb 4, 2022",I BLOODY DID IT AGAIN ON EORDLE EITH THE FOUR KETTERS MY GOD,🧸,,,,[],https://twitter.com/KICKINTRASH/status/1489388224086933504
