UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Morant^♧,@Xklobb_,2023-04-13T06:47:32.000Z,"Morant^♧
@Xklobb_
·
18m","""Toka nje sisi ni watu wakubwa hatuezi iba""",😂 💀 💔,3,10,13,['https://pbs.twimg.com/media/Ftk0YcvXgAAezq5?format=jpg&name=small'],https://twitter.com/Xklobb_/status/1646404736000700417
Hilda Newton,@HildaNewton21,2023-04-13T07:05:43.000Z,"Hilda Newton
@HildaNewton21
·
7s","Kunapokuwa na uzimwaji wa internet mara nyingi inatokana na joto la kisiasa , haki za binadamu au demokrasia, ikiwa  ni mbinu ambayo serikali inatumia kuwanyima watu haki zao katika maeneo mbalimbali.  #InternetIsLife #MaishaNiMtandao #KatibaMpya",,,,,['https://pbs.twimg.com/media/Ftk4iXVX0AEojbw?format=jpg&name=small'],https://twitter.com/HildaNewton21/status/1646409311822782464
Farhan Kihamu Jr,@FKihamu,2023-04-13T05:55:06.000Z,"Farhan Kihamu Jr
@FKihamu
·
1h","Miaka miwili na miezi tisa, Alhamdulillah Mwamba asubuhi kuamshana ni vita ya tatu ya dunia. 

Machi 10, 2023 hii picha.",😀,32,18,747,['https://pbs.twimg.com/media/FtkoXTmWcAEeLI6?format=jpg&name=small'],https://twitter.com/FKihamu/status/1646391541143941120
MTANZANIA ❁,@GilbertPaul95,2023-04-13T06:39:53.000Z,"MTANZANIA ❁
@GilbertPaul95
·
25m","Uzi
Watu maarufu katika soka, ambao ni ndugu wa damu.


Diego simeone na Giovann Simeone, Diego yeye ni kocha wa Athletico madrid Wakati mwanaye Giovanni ni mshambuliaji hatari wa Napoli",👇 👇 👇 👇 👇 👇 👇,4,11,26,"['https://pbs.twimg.com/media/FtkyoDpXgAElgai?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FtkyoTtX0AAn8x1?format=jpg&name=360x360']",https://twitter.com/GilbertPaul95/status/1646402810253127681
TUKO.co.ke | The Heartbeat of Kenya,@Tuko_co_ke,2023-04-13T06:27:08.000Z,"TUKO.co.ke | The Heartbeat of Kenya
@Tuko_co_ke
·
38m","Ni ukweli carrots kwenye beans hufanya watu wasitoe gas saana?

Photo: Mathardy Ken (Facebook)",😅,3,1,7,['https://pbs.twimg.com/media/FtkvtomagAMRG-E?format=jpg&name=small'],https://twitter.com/Tuko_co_ke/status/1646399603720241152
Mr Reliable,@EdwinKM9,2023-04-04T16:58:25.000Z,"Mr Reliable
@EdwinKM9
·
Apr 4",Huyu aliachanga kuongea na Mimi kumbe nilimuuliza kama watu kwao ni wazimu badala wazima,,108,807,"2,032",['https://pbs.twimg.com/media/Fs4p00tWYBI2Fi_?format=jpg&name=small'],https://twitter.com/EdwinKM9/status/1643296979252830212
Ng'oloyape Travel Agency,@Ngoloyape,2023-04-13T04:08:24.000Z,"Ng'oloyape Travel Agency
@Ngoloyape
·
2h","Hakuna Cha post unazo post Wala nini 
Kuna wanazi wangapi wanapondea mabasi ya watu mpaka kelo na wahajawahi kutishiwa . 
Sema tu ni mfomo ulionao wa kimaisha 
Unapenda sana maisha ya mtandaon ,
Siokila utakae mfanyia ubaya utasemee eengina watakufatilia Hadi atua ya mwisho",🚦 🚌,8,1,11,['https://pbs.twimg.com/media/FtkP82sXgAAKLTl?format=jpg&name=small'],https://twitter.com/Ngoloyape/status/1646364687297118208
EastAfricaRadio,@earadiofm,2023-04-12T05:55:19.000Z,"EastAfricaRadio
@earadiofm
·
Apr 12","""Najua kero za watu wa Monduli, changamoto kubwa ya watu wa Monduli ni maji na ardhi, kwahiyo mimi nahangaika Mungu akinijalia kila saa nihakikishe kwamba maji yanapatikana Monduli ma ardhi pia kwa sababu haitoshi kutokana na mifugo yetu""",,12,14,411,['https://pbs.twimg.com/media/Ftfer6UWIAA-O6u?format=jpg&name=small'],https://twitter.com/earadiofm/status/1646029205967101952
ALLAN_NYASH,@AllanNyash,2023-04-09T09:47:05.000Z,"ALLAN_NYASH
@AllanNyash
·
Apr 9",If we beat Liverpool today watu wenye nahurumia ata si Liverpool fans ni ManUnited fans..,,27,96,810,['https://pbs.twimg.com/media/FtQ3HhgXwAAcN-H?format=jpg&name=small'],https://twitter.com/AllanNyash/status/1645000369552891905
Azam TV,@azamtvtz,2023-04-12T10:18:30.000Z,"Azam TV
@azamtvtz
·
20h","Mfanyabiashara maarufu jijini Tanga ambae ni mmiliki wa mabasi ya Tashiriif, Hamoud Said Al Habsy amefariki dunia asubuhi ya leo Aprili 12, 2023 baada ya kudondoka ghafla wakati akitekeleza ibada ya swala ya Alfajir, mjukuu wa marehemu, Hamoud Salim Amri Said amethibitisha.",,93,63,"1,462",['https://pbs.twimg.com/media/FtgbDj9WAAAMjPw?format=jpg&name=small'],https://twitter.com/azamtvtz/status/1646095440289333249
