UserName,Handle&Toxic,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
@tanzani11,もふもふ動物ランド【特選】 #相互フォロー100%,2023-02-09,"思わずにっこりしてしまう動物たちをご紹介。
楽しんでくださいね。
友達垢@bot10542735もフォローしてあげてね

【注意】やっぱり信用が一番大事だから、リムーブされた方に対しては、こちらもリムーブしますね。わかってくださいね。
#相互フォロー",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMTYyNjU5MDA2Mjk4Njc3MjUzL0F2RHFCOHVIX2JpZ2dlci5qcGc=,https://nitter.it/tanzani11
@LotaWinston,WINSTON SAFARIS & TREKKING KENYA/TANZANI Pst Wins,2023-02-09,Wildlife and Tourism,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMTMwMTUxNDE4MzgyNDM0MzA0L2M1a05tc3BpX2JpZ2dlci5qcGc=,https://nitter.it/LotaWinston
@MputTanza,Putri Intan Tanzani,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy83MzMxMjA2MTY0MjE2OTEzOTYvNF9uVm9WNllfYmlnZ2VyLmpwZw==,https://nitter.it/MputTanza
@tanzaniAvacado,Montana Accavallo,2023-02-09,You are a soul. A spirit. A being of light with a big heart. And the heart is a wild creature.,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy84NzAyODc4NTQzMjAxODEyNDgvUzMxOWVHN2VfYmlnZ2VyLmpwZw==,https://nitter.it/tanzaniAvacado
@awenettanzania,Animal Welfare & Environment Network for Tanzani,2023-02-09,"One voice for one welfare and One health, visit our website at awanet.org and support our mission.Donate today 🙋",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNTI0MDUzNzgzNDc4NjgxNjAzL2Y3RGNiZXR2X2JpZ2dlci5qcGc=,https://nitter.it/awenettanzania
@TanzaniSA_,Tanzani S. Aqilah,2023-02-09,Love You 'I' ♥♥♥ | [1620 2200 0795 4200 ]♥♥,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy81OTUxMzY2NDM4OTMzNDIyMDgvZi1BLTJDSmZfYmlnZ2VyLmpwZw==,https://nitter.it/TanzaniSA_
@OrcaDecoTanzani,Orca Deco Tanzania,2023-02-09,"interior design, furniture, textiles , indoor & outdoor households and home products, Tanzania",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy80NzQxNTI0MTEwODMxODYxNzYvS0lZNE9SU0xfYmlnZ2VyLmpwZWc=,https://nitter.it/OrcaDecoTanzani
@TanzaniProducts,Tanzanian Timber products,2023-02-09,"WOODS PRODUCTS/ ENTREPRENEUR
▪️Tunauza  mbao za Aina zote.
▪️Pine,sypres, gums..
▪️Kuanzia 2*2 inch__________1*10inch
▪️ WhatsApp
▪️0768202406.",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMzU4NzU2NzQzMzU1MDAyODgzLzRVaUhaUTV3X2JpZ2dlci5qcGc=,https://nitter.it/TanzaniProducts
@JobistanTanzani,Jobistan Tanzania,2023-02-09,"Jobs Vacancies, Employment And Career Opportunities in Tanzania.",embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/JobistanTanzani
@WillianTanzani1,Willian Tanzanite,2023-02-09,THE RIVER WHERE MOON RISES,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNTM3MTQ1NjEyMzA2NjIwNDE2L1hRZ2Q1RU1FX2JpZ2dlci5qcGc=,https://nitter.it/WillianTanzani1
