UserName,Handle&Toxic,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image_link,Tweet_URL
@MasterCode112,Eng-David(MasterCode),"May 18, 2023 · 8:24 AM UTC",DAMNCON CTF 2022 tbt @peterChain7 @MalwarePeter @blackninja233 @hashghost21 @tahaafarooq @KarimMuya #UDOMCYBERCLUB #Tz(SuperHackers)🔥🔥,,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTU3MjIxMTQ2ODE5MTI5MzQ0MS93UGxPQ2c5LV9iaWdnZXIuanBn,https://nitter.it/MasterCode112/status/1659112653220872192#m
@hashghost21,hashghost,"Feb 26, 2023 · 2:59 PM UTC",My big bro and mentor 🔥🔥,,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTUzNDMxNTI3MjQxMjIwMDk2NC8wXzFHVkZ6NV9iaWdnZXIuanBn,https://nitter.it/hashghost21/status/1629858700461588483#m
@MasterCode112,Eng-David(MasterCode),"Jan 3, 2023 · 2:16 PM UTC",🏹🏹🥷🥷🥷🥷🏹🏹🏹🥷🥷🥷🔥🔥🔥🏹🏹🥷🥷UDOM CTF🥷#MasterCode112🥷🏹🏹🏹💪💪 @blackninja233  @MalwarePeter  @KMchatta  @hashghost21  @KarimMuya @tahaafarooq,,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTU3MjIxMTQ2ODE5MTI5MzQ0MS93UGxPQ2c5LV9iaWdnZXIuanBn,https://nitter.it/MasterCode112/status/1610278985778483202#m
@MasterCode112,Eng-David(MasterCode),"Jan 3, 2023 · 1:45 PM UTC",UDom CTF i made it first place @Mastercode112 Thanks God @blackninja233 @hashghost21 @MalwarePeter @KarimMuya @KMchatta @tahaafarooq,,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTU3MjIxMTQ2ODE5MTI5MzQ0MS93UGxPQ2c5LV9iaWdnZXIuanBn,https://nitter.it/MasterCode112/status/1610271071302987776#m
@MasterCode112,Eng-David(MasterCode),"Dec 30, 2022 · 2:15 PM UTC",🥷🥷🔥🔥🏹🏹Top Hackers 2022 Tanzania🥷🥷🔥🔥🔥🏹🏹🏹🔥@blackninja233,,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTU3MjIxMTQ2ODE5MTI5MzQ0MS93UGxPQ2c5LV9iaWdnZXIuanBn,https://nitter.it/MasterCode112/status/1608829064714018821#m
@MasterCode112,Eng-David(MasterCode),"Dec 30, 2022 · 2:06 PM UTC",🔥🔥🔥🔥💪💪🥷🥷🏹🏹🏹🥷🥷🔥🔥MasterCode🥷🥷🔥🔥🏹🏹,,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTU3MjIxMTQ2ODE5MTI5MzQ0MS93UGxPQ2c5LV9iaWdnZXIuanBn,https://nitter.it/MasterCode112/status/1608826745704284163#m
@KMchatta,Kharim Mchatta,"Nov 14, 2022 · 10:08 AM UTC","Scoreboard at the moment, @ikuamike  taking the lead 😃😃 keep pushing guys 😃😃
@Cyr33n @tahaafarooq @MalwarePeter @mug3njutsu @JonesBaraza @BlackInCyberCo1",,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTE2MzAwNjQ0NTc5OTA1OTQ1Ni9Mb3g5endCV19iaWdnZXIuanBn,https://nitter.it/KMchatta/status/1592097252491022337#m
@MasterCode112,Eng-David(MasterCode),"Sep 20, 2022 · 8:47 AM UTC",%%%%$$$$Another one OpenSource Pwned by  @MasterCode112%%%$$ @blackninja233 @peterChain7  @MalwarePeter @tahaafarooq @KarimMuya  @KMchatta @hashghost21 @tzanonima,,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTU3MjIxMTQ2ODE5MTI5MzQ0MS93UGxPQ2c5LV9iaWdnZXIuanBn,https://nitter.it/MasterCode112/status/1572145529731317761#m
@MasterCode112,Eng-David(MasterCode),"Sep 18, 2022 · 8:11 PM UTC",On fire updown is pwned by HackerDavid(MasterCode) @blackninja233 @MalwarePeter @hashghost21 @peterChain7 @tahaafarooq @tzanonima @KMchatta,,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTU3MjIxMTQ2ODE5MTI5MzQ0MS93UGxPQ2c5LV9iaWdnZXIuanBn,https://nitter.it/MasterCode112/status/1571592842937774082#m
@MasterCode112,Eng-David(MasterCode),"Sep 15, 2022 · 1:06 PM UTC","Another Machine Down by @MasterCode112 ### @blackninja233, @tahaafarooq @MalwarePeter @tzanonima @peterChain7 @KMchatta @CarmenCorbin_UN",,,reply_cnt,,,https://nitter.it/pic/enc/cHJvZmlsZV9pbWFnZXMvMTU3MjIxMTQ2ODE5MTI5MzQ0MS93UGxPQ2c5LV9iaWdnZXIuanBn,https://nitter.it/MasterCode112/status/1570398597451251713#m
